,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
AC093849.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC093849.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
HAND2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
HAND2-AS1,False,False,11,0.006354708,99.36452917388793,11.0,False,0.004559966876000487,0.3894932171310899,0.17585133
LINC02269,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0025384186656594344,-0.1972921320380525,-0.7250908
AC106895.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC106895.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02268,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC012055.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC012055.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
FBXO8,False,False,75,0.045060657,95.66724436741768,78.0,False,0.04851021560021948,0.08322255351070584,-0.2943924
CEP44,False,False,107,0.064124785,93.81860196418256,111.0,False,0.06208002877596831,-0.12789069813235063,-0.6185328
AC116616.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
HPGD,False,False,79,0.049682263,95.43616406701328,86.0,False,0.023406565421738804,0.4575705668660792,0.28037634
AC096751.2,False,False,5,0.0028885037,99.71114962449451,5.0,False,9.999999999995e-13,,
GLRA3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
ADAM29,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC105914.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC022325.2,False,False,9,0.0057770074,99.48006932409012,10.0,False,9.999999999995e-13,,
AC095050.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC131094.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
GPM6A,False,False,13,0.011554015,99.24898902368572,20.0,True,0.02828205533393828,2.0629615758758093,2.7452714
AC097537.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
WDR17,False,False,79,0.052570768,95.43616406701328,91.0,False,0.015450243045020129,0.04769066955913202,-0.34894758
SPATA4,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
ASB5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC019163.1,False,False,122,0.075678796,92.95205083766609,131.0,False,0.1095436260982875,0.8584568861604334,0.89589167
SPCS3,False,False,457,0.3703062,73.59907567879837,641.0,False,0.40201547011468985,0.5828697826998128,0.20746055
AC093801.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
VEGFC,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.016997441073669226,1.7114705902625313,2.2055972
AC097518.2,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.016997441073669226,1.7114705902625313,2.2055972
AC092673.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02509,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC097518.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
NEIL3,False,False,51,0.03119584,97.05372616984403,54.0,False,0.04422620588386423,-0.17700245987504507,-0.6939383
