,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
AJ009632.2,False,False,700,0.8711727,59.56094742923166,1508.0,True,0.5245410793529056,1.3511352688176634,1.9134628
MIR99AHG,False,False,531,0.4604275,69.32409012131716,797.0,True,0.2888785420291194,1.626623830789875,2.5252097
AP001172.1,False,False,6,0.0034662045,99.65337954939342,6.0,True,0.010857539624144597,1.2601904287258536,1.5127078
CHODL,False,False,25,0.017908724,98.55574812247256,31.0,True,0.029227018480469876,1.3125962456276052,1.593171
APP,False,False,502,0.37954938,70.99942229924898,657.0,True,0.3894688302627714,1.4353784899528765,2.1005323
AP001439.1,False,False,47,0.028885037,97.28480647024841,50.0,True,0.02668678543841037,1.0733555006073947,1.225844
BACH1-IT1,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.018465999245511695,1.624900288308551,2.0726783
TIAM1,False,False,28,0.016753322,98.38243789716927,29.0,True,0.040030301480286176,1.1947685760912679,1.4122599
EVA1C,False,False,222,0.14442518,87.17504332755632,250.0,True,0.17142346754738372,1.4335877990620929,1.7789397
IL10RB,False,False,255,0.16060081,85.2686308492201,278.0,True,0.16882792211941608,1.1252114317158706,1.305463
RUNX1,False,False,1410,2.4113228,18.544194107452338,4174.0,True,1.3494346760393114,1.7986609212943758,1.5681591
ERG,False,False,941,1.0577701,45.63835932986713,1831.0,True,0.5884013112169677,1.5436837831490229,1.8956338
DSCAM,False,False,6,0.0034662045,99.65337954939342,6.0,True,0.009489708572551313,1.1248535892371425,1.3049135
ZBTB21,False,False,195,0.12651646,88.73483535528597,219.0,True,0.13038540072365096,1.0692796129340256,1.219586
PDE9A,False,False,7,0.004621606,99.59560947429232,8.0,True,0.027443920237177562,1.2423544407892213,1.4853227
DNMT3L,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.010857539624144597,1.2601904287258536,1.5127078
TRPM2,False,False,16,0.010976315,99.07567879838244,19.0,True,0.021903545923000478,1.3019922923809903,1.5768898
ITGB2,False,False,366,0.24898903,78.85615251299826,431.0,True,0.1879535034378897,1.1427134073637855,1.3323352
COL6A2,False,False,23,0.013287118,98.67128827267476,23.0,True,0.054017282694484574,1.1396926552733633,1.3276972
ADA2,False,False,63,0.041016754,96.36048526863085,71.0,True,0.054885616335309056,1.1754706546454918,1.3826302
CECR2,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.017033326175400237,1.3423039622915476,1.6387838
DGCR2,False,False,183,0.11669555,89.42807625649914,202.0,True,0.17043954351224538,1.088134356918157,1.2485353
AC000085.1,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.01391797450847007,1.5100452017303365,1.8963314
GP1BB,False,False,560,1.2680532,67.64875794338532,2195.0,True,1.2554505156412061,2.561717126228615,2.753136
ARVCF,False,False,43,0.024841132,97.5158867706528,43.0,True,0.05263986972763558,1.0890517825682866,1.2499439
ZDHHC8,False,False,49,0.028885037,97.1692663200462,50.0,True,0.03646723256924347,1.1058686660177883,1.2757643
PI4KA,False,False,356,0.24725592,79.43385326400924,428.0,True,0.3287032891037164,1.123999847258277,1.4090883
YPEL1,False,False,124,0.080300406,92.83651068746389,139.0,True,0.13036127403786218,1.3834653124174707,1.7019824
TOP3B,False,False,51,0.03119584,97.05372616984403,54.0,True,0.06245934751280887,1.7576000289418816,2.2764237
AC245060.6,False,False,13,0.00751011,99.24898902368572,13.0,True,0.027937398607703685,1.2872853163579794,1.5543089
AC245060.5,False,False,52,0.03119584,96.99595609474292,54.0,True,0.04865250058347462,1.1107849443390192,1.2833127
IGLC1,False,False,4,0.0051993066,99.7689196995956,9.0,True,0.10418746092909337,3.408630674453046,4.8113933
IGLC2,False,False,7,0.03235124,99.59560947429232,56.0,True,0.15217594443234972,2.867842471369651,3.9810746
IGLC3,False,False,3,0.0051993066,99.8266897746967,9.0,True,0.04304935595629841,2.6538462469911037,3.6525078
IGLC5,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.016694963766003074,1.6933632163556827,2.1777954
IGLL1,False,False,853,2.3073368,50.72212593876372,3994.0,True,0.7191387037654624,2.2058208552477225,3.167745
GGT5,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.016997441073669226,1.7114705902625313,2.2055972
ADORA2A,False,False,28,0.016753322,98.38243789716927,29.0,True,0.027074571162706455,1.0818069936706523,1.2388203
SGSM1,False,False,11,0.006932409,99.36452917388793,12.0,True,0.014867963956787446,1.2305214054870075,1.4671544
MIAT,False,False,23,0.013864818,98.67128827267476,24.0,True,0.024530401491366125,1.3151452609812444,1.5970846
TTC28,False,False,237,0.17619874,86.30849220103987,305.0,True,0.19310076180962293,1.2712942609340305,1.5297564
SELENOM,False,False,103,0.06874639,94.04968226458695,119.0,True,0.10876396595356719,1.4179837772078714,1.7549815
PIK3IP1-AS1,False,False,79,0.050259966,95.43616406701328,87.0,True,0.07527416832921276,2.3963473890154416,3.2571476
SYN3,False,False,27,0.02310803,98.44020797227037,40.0,True,0.10927690324920986,1.8946935158336962,2.486915
TIMP3,False,False,245,0.20277296,85.84633160023107,351.0,True,0.3414827793557633,1.2730384767968705,1.7400419
LARGE1,False,False,29,0.023685731,98.32466782206816,41.0,True,0.07113569052814527,2.837617232774315,3.934667
MB,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.01308280287828285,1.4477441661540535,1.8006753
APOL6,False,False,157,0.097631425,90.93009820912768,169.0,True,0.12327427191207321,1.3574804907676636,1.6620857
CSF2RB,False,False,118,0.094742924,93.18313113807048,164.0,True,0.10223215861343168,1.1565459630221449,1.3535736
KCTD17,False,False,42,0.024263432,97.5736568457539,42.0,True,0.02892174301234957,1.331958943266751,1.6229002
